radius_nm,temperature_C,pH,degradation_rate_per_hour,t50_hours,t90_hours,error
400,37,8.0,0.05,17.83567134268537,38.476953907815634,40.1903606812824
300,25,7.0,0.05,17.83567134268537,38.476953907815634,40.1903606812824
350,35,8.0,0.03,17.83567134268537,38.476953907815634,40.1903606812824
200,40,5.5,0.03,17.83567134268537,38.476953907815634,40.1903606812824
200,40,6.0,0.03,13.627254509018035,29.859719438877754,40.35100260641526
200,25,8.0,0.01,12.424849699398797,29.65931863727455,40.384737410693134
200,40,6.5,0.01,12.424849699398797,29.65931863727455,40.384737410693134
300,30,8.0,0.05,13.827655310621243,29.859719438877754,41.04336930373776
350,40,8.0,0.02,17.83567134268537,38.877755511022045,42.33653680105701
250,25,7.0,0.02,17.83567134268537,38.877755511022045,42.33653680105701
300,40,7.4,0.01,17.23446893787575,39.879759519038075,42.45219898715264
300,37,8.0,0.03,13.627254509018035,29.65931863727455,42.852197380733415
300,30,8.0,0.02,17.83567134268537,39.07815631262525,43.53010630479392
350,40,8.0,0.05,13.827655310621243,29.65931863727455,43.54456407805592
250,25,7.0,0.05,13.827655310621243,29.65931863727455,43.54456407805592
350,37,7.4,0.03,18.036072144288575,38.677354709418836,43.602395171103694
250,37,7.0,0.02,13.226452905811623,29.458917835671343,44.289942610672234
300,25,8.0,0.03,18.036072144288575,38.877755511022045,44.71564371227422
150,40,5.5,0.005,16.432865731462925,41.082164328657306,45.47869285665511
200,37,7.0,0.005,11.422845691382765,29.258517034068134,45.78069967590494
350,30,7.4,0.05,18.036072144288575,39.07815631262525,45.909213216011125
300,40,6.5,0.03,18.23647294589178,39.07815631262525,48.36864108979475
350,40,7.0,0.03,18.23647294589178,39.278557114228455,49.64253155609811
250,35,6.0,0.05,18.23647294589178,39.278557114228455,49.64253155609811
250,35,6.5,0.05,13.42685370741483,29.058116232464926,50.22566174433041
300,40,7.4,0.03,13.42685370741483,29.058116232464926,50.22566174433041
300,37,7.0,0.05,13.627254509018035,29.058116232464926,50.83770747908649
250,40,8.0,0.01,12.024048096192384,28.85771543086172,51.01280717748126
150,40,5.5,0.02,13.026052104208418,28.85771543086172,52.0650117871013
300,30,7.0,0.03,18.43687374749499,39.47895791583166,53.53649182131793
300,37,8.0,0.01,17.635270541082164,40.681362725450896,53.6714310384295
300,35,7.0,0.02,18.23647294589178,39.879759519038075,53.946128730406656
150,35,5.5,0.03,13.226452905811623,28.657314629258515,55.41921518387479
200,40,6.0,0.01,17.635270541082164,40.881763527054105,55.587889205264204
150,37,6.0,0.01,11.823647294589177,28.45691382765531,56.929249280123386
250,37,7.0,0.005,16.833667334669336,41.88376753507014,57.98306030899474
200,35,6.0,0.05,13.226452905811623,28.45691382765531,58.40233573359144
250,35,7.4,0.02,12.625250501002002,28.2565130260521,60.35252870470405
200,25,7.0,0.02,12.625250501002002,28.2565130260521,60.35252870470405
250,30,7.4,0.03,13.026052104208418,28.2565130260521,61.01437343625131
400,35,8.0,0.05,18.637274549098194,40.280561122244485,62.37661696137761
150,30,6.0,0.02,12.424849699398797,28.056112224448896,63.28585025762952
400,37,7.4,0.05,18.637274549098194,40.480961923847694,64.13243320307947
350,35,7.4,0.03,18.8376753507014,40.280561122244485,65.07700772286047
150,25,5.5,0.02,18.637274549098194,40.681362725450896,65.96857040734767
250,25,8.0,0.01,18.036072144288575,41.48296593186373,66.49708234103478
250,40,6.5,0.01,18.036072144288575,41.48296593186373,66.49708234103478
150,25,6.0,0.03,12.825651302605209,27.85571142284569,67.01113650145984
300,35,7.4,0.05,13.026052104208418,27.85571142284569,67.3822193485167
200,35,7.4,0.005,10.821643286573146,27.85571142284569,67.71796097204431
150,30,6.5,0.005,10.821643286573146,27.85571142284569,67.71796097204431
350,40,7.4,0.02,18.637274549098194,40.881763527054105,67.88502857418237
250,40,7.0,0.02,12.22444889779559,27.655310621242485,69.68421813567014
150,25,6.5,0.01,11.623246492985972,27.655310621242485,69.77578403299584
200,35,6.5,0.02,12.424849699398797,27.655310621242485,69.81433809502772
200,30,7.4,0.01,11.422845691382765,27.655310621242485,69.96694792390392
200,30,6.5,0.03,12.625250501002002,27.655310621242485,70.02477901695173
250,37,6.5,0.05,12.825651302605209,27.655310621242485,70.31554090144215
300,40,8.0,0.03,12.825651302605209,27.655310621242485,70.31554090144215
250,40,6.0,0.03,19.038076152304605,40.681362725450896,71.44967289287982
300,30,7.4,0.02,18.8376753507014,41.082164328657306,72.58219846506627
300,25,7.4,0.03,19.038076152304605,40.881763527054105,73.36613105971452
250,35,7.0,0.03,12.625250501002002,27.454909819639276,73.40950437950052
150,37,5.5,0.03,12.625250501002002,27.454909819639276,73.40950437950052
150,30,5.5,0.05,12.825651302605209,27.454909819639276,73.70026626399094
100,30,5.5,0.005,10.621242484969939,27.454909819639276,74.91953847574914
200,37,5.5,0.03,19.038076152304605,41.082164328657306,75.36291018911555
250,30,7.0,0.01,18.23647294589178,42.08416833667334,75.91069915381857
300,40,7.0,0.05,12.625250501002002,27.25450901803607,76.87455070461566
200,37,6.0,0.05,12.625250501002002,27.25450901803607,76.87455070461566
250,25,7.4,0.05,12.625250501002002,27.25450901803607,76.87455070461566
100,25,5.5,0.01,11.222444889779558,27.25450901803607,77.08820446504232
400,40,7.0,0.05,19.038076152304605,41.28256513026052,77.44001028108315
350,37,8.0,0.02,19.038076152304605,41.48296593186373,79.5974313356171
250,30,8.0,0.005,17.43486973947896,43.08617234468938,79.75164758374467
250,35,8.0,0.02,12.024048096192384,27.054108216432866,80.02955811422444
250,37,7.4,0.02,12.024048096192384,27.054108216432866,80.02955811422444
400,40,8.0,0.03,19.238476953907817,41.48296593186373,82.4584640222329
200,40,7.0,0.005,10.420841683366733,27.054108216432866,82.52272079228598
300,35,8.0,0.01,18.43687374749499,42.484969939879754,83.4881787623342
250,30,8.0,0.03,12.22444889779559,26.85370741482966,83.7050453612636
200,30,5.5,0.05,19.238476953907817,41.68336673346693,84.69620603933319
200,30,6.0,0.02,19.238476953907817,41.88376753507014,87.01426901899997
200,25,6.5,0.05,12.424849699398797,26.65330661322645,87.54117453343564
300,37,7.4,0.05,12.424849699398797,26.65330661322645,87.54117453343564
300,35,8.0,0.05,12.424849699398797,26.65330661322645,87.54117453343564
300,37,6.5,0.03,19.438877755511022,41.68336673346693,87.6375596885153
200,35,7.0,0.01,11.02204408817635,26.65330661322645,88.31707503182722
200,25,6.5,0.01,18.637274549098194,42.68537074148296,88.7475953911831
300,37,7.4,0.01,18.637274549098194,42.68537074148296,88.7475953911831
350,37,7.0,0.03,19.438877755511022,41.88376753507014,89.95562266818209
200,25,6.0,0.03,19.438877755511022,41.88376753507014,89.95562266818209
200,37,6.5,0.02,11.823647294589177,26.452905811623246,91.1781077184429
150,40,6.0,0.01,11.02204408817635,26.452905811623246,92.10340520720801
350,25,8.0,0.05,19.438877755511022,42.08416833667334,92.35400661041518
350,40,6.5,0.05,19.438877755511022,42.08416833667334,92.35400661041518
200,37,7.4,0.005,10.220440881763526,26.452905811623246,94.31383809703577
400,35,7.4,0.05,19.438877755511022,42.28456913827655,94.83271151521478
250,37,7.0,0.03,12.024048096192384,26.25250501002004,95.01423689061488
250,30,7.0,0.05,12.22444889779559,26.25250501002004,95.06403588740606
300,30,6.5,0.05,19.438877755511022,42.484969939879754,97.39173738258073
200,35,8.0,0.005,10.02004008016032,26.25250501002004,98.93389986385596
200,25,7.4,0.02,11.623246492985972,26.052104208416836,99.1025738852454
150,37,5.5,0.005,17.83567134268537,44.0881763527054,99.47365673230215
250,35,7.0,0.005,17.83567134268537,44.0881763527054,99.47365673230215
200,30,8.0,0.01,10.821643286573146,26.052104208416836,100.34915522427617
250,25,8.0,0.05,12.024048096192384,25.851703406813623,102.9885020542087
250,40,6.5,0.05,12.024048096192384,25.851703406813623,102.9885020542087
350,30,7.0,0.05,19.639278557114228,42.68537074148296,103.0527588242617
450,40,8.0,0.05,19.639278557114228,42.68537074148296,103.0527588242617
250,30,6.5,0.02,19.639278557114228,42.68537074148296,103.0527588242617
250,37,8.0,0.02,11.422845691382765,25.851703406813623,103.32103083923366
