diffusion_scale,RMSE,MAE,R_squared
0.9,18.877706559231783,13.592262169060024,0.7277416491320758
0.91,19.01523506063483,13.663013782868765,0.7237602677706931
0.92,19.149718992205855,13.731662513761213,0.7198390777524388
0.93,19.281190526036504,13.798236809754675,0.7159790081113917
0.9400000000000001,19.409749751477243,13.862837924469693,0.7121789058918726
0.9500000000000001,19.535497259089425,13.925553069991441,0.7084374847491064
0.9600000000000001,19.65838918833132,13.986369185434459,0.7047576828454236
0.97,19.778495497330635,14.045354807782786,0.7011389946063039
0.98,19.89591660660073,14.102584243953833,0.6975799008679744
0.99,20.010720753218756,14.158103914679833,0.6940797605379811
1.0,20.122970400881915,14.211969284957306,0.6906380302136881
